role,seed,physical_source,diagnosis,candidate_label,suite,maximum_gain_compensation,minimum_gain_remaining,estimated_severity,severity_uncertainty,expected_multiplier,applied_multiplier_mean,applied_multiplier_max_error,run_id,j_5s,predecision_hash,classification_evaluations,recovery_command_changed_steps,predecision_command_changed_steps,a1_incident_steps,saturation_steps,peak_contact_force_n,max_abs_gauge_microstrain
assessment,17100,actuator,C1,cap3_floor0p25,C1,3.0,0.25,0.2487740435368967,0.008584677993439312,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17100-actuator-C1-cap3_floor0p25,0.8823660410665168,04ae0b06072688dde85b915176216830ab75662102acf5868f76d236c2ad042b,1,1864,0,0,0,1.215371731951202,11.412754863657781
assessment,17100,actuator,S,cap3_floor0p25,S,3.0,0.25,0.2519434949039755,0.010183117225236724,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17100-actuator-S-cap3_floor0p25,0.8823660410665168,04ae0b06072688dde85b915176216830ab75662102acf5868f76d236c2ad042b,1,1864,0,0,0,1.215371731951202,11.412754863657781
assessment,17100,actuator,oracle,cap3_floor0p25,S,3.0,0.25,0.25,0.0,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17100-actuator-oracle-cap3_floor0p25,0.8823660410665168,04ae0b06072688dde85b915176216830ab75662102acf5868f76d236c2ad042b,1,1864,0,0,0,1.215371731951202,11.412754863657781
assessment,17100,actuator,C1,cap5_floor0p20,C1,5.0,0.2,0.2487740435368967,0.008584677993439312,4.0197119674653115,4.0197119674653115,0.0,actuator-recovery-assessment-17100-actuator-C1-cap5_floor0p20,0.8491263403805069,04ae0b06072688dde85b915176216830ab75662102acf5868f76d236c2ad042b,1,1863,0,0,0,1.235921953854975,11.791980382263036
assessment,17100,actuator,S,cap5_floor0p20,S,5.0,0.2,0.2519434949039755,0.010183117225236724,3.9691439557950687,3.9691439557950683,4.440892098500626e-16,actuator-recovery-assessment-17100-actuator-S-cap5_floor0p20,0.8490510650537239,04ae0b06072688dde85b915176216830ab75662102acf5868f76d236c2ad042b,1,1862,0,0,0,1.317316066667669,11.006571408236354
assessment,17100,actuator,C1,cap5_floor0p25,C1,5.0,0.25,0.2487740435368967,0.008584677993439312,4.0,4.0,0.0,actuator-recovery-assessment-17100-actuator-C1-cap5_floor0p25,0.8493717129743568,04ae0b06072688dde85b915176216830ab75662102acf5868f76d236c2ad042b,1,1863,0,0,0,1.185449129576659,10.633566561377705
assessment,17100,actuator,S,cap5_floor0p25,S,5.0,0.25,0.2519434949039755,0.010183117225236724,3.9691439557950687,3.9691439557950683,4.440892098500626e-16,actuator-recovery-assessment-17100-actuator-S-cap5_floor0p25,0.8490510650537239,04ae0b06072688dde85b915176216830ab75662102acf5868f76d236c2ad042b,1,1862,0,0,0,1.317316066667669,11.006571408236354
assessment,17100,actuator,no_action,reference,S,3.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-assessment-17100-actuator-no_action-reference,1.0582903272883195,04ae0b06072688dde85b915176216830ab75662102acf5868f76d236c2ad042b,1,0,0,0,0,0.0808637958873531,3.9522306000061573
assessment,17100,healthy,C1,cap3_floor0p25,C1,3.0,0.25,0.2487740435368967,0.008584677993439312,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17100-healthy-C1-cap3_floor0p25,0.787229412447069,955d1d7ef93719ea1c060dbe945cdfa99a627cd7608353be28ac743655682331,1,1861,0,0,0,2.3574674959497792,23.035541127836012
assessment,17100,healthy,S,cap3_floor0p25,S,3.0,0.25,0.2519434949039755,0.010183117225236724,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17100-healthy-S-cap3_floor0p25,0.787229412447069,955d1d7ef93719ea1c060dbe945cdfa99a627cd7608353be28ac743655682331,1,1861,0,0,0,2.3574674959497792,23.035541127836012
assessment,17100,healthy,oracle,cap3_floor0p25,S,3.0,0.25,0.25,0.0,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17100-healthy-oracle-cap3_floor0p25,0.787229412447069,955d1d7ef93719ea1c060dbe945cdfa99a627cd7608353be28ac743655682331,1,1861,0,0,0,2.3574674959497792,23.035541127836012
assessment,17100,healthy,C1,cap5_floor0p20,C1,5.0,0.2,0.2487740435368967,0.008584677993439312,4.0197119674653115,4.019711967465312,0.0,actuator-recovery-assessment-17100-healthy-C1-cap5_floor0p20,0.7724757975915562,955d1d7ef93719ea1c060dbe945cdfa99a627cd7608353be28ac743655682331,1,1864,0,84,0,2.4790849729295417,614.134630759735
assessment,17100,healthy,S,cap5_floor0p20,S,5.0,0.2,0.2519434949039755,0.010183117225236724,3.9691439557950687,3.9691439557950683,4.440892098500626e-16,actuator-recovery-assessment-17100-healthy-S-cap5_floor0p20,0.7797448468951425,955d1d7ef93719ea1c060dbe945cdfa99a627cd7608353be28ac743655682331,1,1864,0,46,0,2.181656833393637,326.0900133435696
assessment,17100,healthy,C1,cap5_floor0p25,C1,5.0,0.25,0.2487740435368967,0.008584677993439312,4.0,4.0,0.0,actuator-recovery-assessment-17100-healthy-C1-cap5_floor0p25,0.7722689021121834,955d1d7ef93719ea1c060dbe945cdfa99a627cd7608353be28ac743655682331,1,1863,0,59,0,2.6125760145273187,377.9721668896174
assessment,17100,healthy,S,cap5_floor0p25,S,5.0,0.25,0.2519434949039755,0.010183117225236724,3.9691439557950687,3.9691439557950683,4.440892098500626e-16,actuator-recovery-assessment-17100-healthy-S-cap5_floor0p25,0.7797448468951425,955d1d7ef93719ea1c060dbe945cdfa99a627cd7608353be28ac743655682331,1,1864,0,46,0,2.181656833393637,326.0900133435696
assessment,17100,healthy,no_action,reference,S,3.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-assessment-17100-healthy-no_action-reference,0.8602950721595801,955d1d7ef93719ea1c060dbe945cdfa99a627cd7608353be28ac743655682331,1,0,0,0,0,2.118070302651694,18.559801047048907
assessment,17101,actuator,C1,cap3_floor0p25,C1,3.0,0.25,0.265714860390349,0.008584677993439312,3.0,3.0,4.440892098500626e-16,actuator-recovery-assessment-17101-actuator-C1-cap3_floor0p25,0.8835729102757461,a77a48e167eacb696f6155cfd48bde87191c72172511269bd3009df81e134390,1,1864,0,0,0,1.1520048913960166,10.360157835949124
