role,seed,physical_source,diagnosis,candidate_label,suite,maximum_gain_compensation,minimum_gain_remaining,estimated_severity,severity_uncertainty,expected_multiplier,applied_multiplier_mean,applied_multiplier_max_error,run_id,j_5s,predecision_hash,classification_evaluations,recovery_command_changed_steps,predecision_command_changed_steps,a1_incident_steps,saturation_steps,peak_contact_force_n,max_abs_gauge_microstrain
tuning,18000,actuator,oracle,cap2_floor0p25,S,2.0,0.25,0.25,0.0,2.0,2.0,0.0,actuator-recovery-tuning-18000-actuator-oracle-cap2_floor0p25,0.9444035571164542,4e5b9ede0464712c01864889a18a80e036a8db860eccbdbb3f1a3f5330b08039,1,1864,0,0,0,0.9019277317971371,9.446567724191723
tuning,18000,actuator,oracle,cap3_floor0p25,S,3.0,0.25,0.25,0.0,3.0,3.0,4.440892098500626e-16,actuator-recovery-tuning-18000-actuator-oracle-cap3_floor0p25,0.8836668181244036,4e5b9ede0464712c01864889a18a80e036a8db860eccbdbb3f1a3f5330b08039,1,1864,0,0,0,1.1541570249504944,11.03219908462627
tuning,18000,actuator,oracle,cap4_floor0p25,S,4.0,0.25,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18000-actuator-oracle-cap4_floor0p25,0.8509811190358594,4e5b9ede0464712c01864889a18a80e036a8db860eccbdbb3f1a3f5330b08039,1,1864,0,0,0,1.244685193388101,11.93817196651459
tuning,18000,actuator,oracle,cap5_floor0p20,S,5.0,0.2,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18000-actuator-oracle-cap5_floor0p20,0.8509811190358594,4e5b9ede0464712c01864889a18a80e036a8db860eccbdbb3f1a3f5330b08039,1,1864,0,0,0,1.244685193388101,11.93817196651459
tuning,18000,actuator,oracle,cap5_floor0p25,S,5.0,0.25,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18000-actuator-oracle-cap5_floor0p25,0.8509811190358594,4e5b9ede0464712c01864889a18a80e036a8db860eccbdbb3f1a3f5330b08039,1,1864,0,0,0,1.244685193388101,11.93817196651459
tuning,18000,actuator,no_action,reference,S,2.0,0.25,,0.0,1.0,1.0,0.0,actuator-recovery-tuning-18000-actuator-no_action-reference,1.0583878900240031,4e5b9ede0464712c01864889a18a80e036a8db860eccbdbb3f1a3f5330b08039,1,0,0,0,0,0.07324539714600858,3.688588853507646
tuning,18000,healthy,oracle,cap2_floor0p25,S,2.0,0.25,0.25,0.0,2.0,2.0,0.0,actuator-recovery-tuning-18000-healthy-oracle-cap2_floor0p25,0.8055554133722629,899fd8b6805c56bd651879f40dd0a95058e42bb5c5853ffb97441e39fdc9902e,1,1863,0,0,0,2.259019016293288,20.576633332600736
tuning,18000,healthy,oracle,cap3_floor0p25,S,3.0,0.25,0.25,0.0,3.0,3.0,4.440892098500626e-16,actuator-recovery-tuning-18000-healthy-oracle-cap3_floor0p25,0.790604900596055,899fd8b6805c56bd651879f40dd0a95058e42bb5c5853ffb97441e39fdc9902e,1,1863,0,0,0,2.2326255245592104,19.934555039640145
tuning,18000,healthy,oracle,cap4_floor0p25,S,4.0,0.25,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18000-healthy-oracle-cap4_floor0p25,0.789367375347105,899fd8b6805c56bd651879f40dd0a95058e42bb5c5853ffb97441e39fdc9902e,1,1864,0,657,0,2.6037841142153577,619.2408966879182
tuning,18000,healthy,oracle,cap5_floor0p20,S,5.0,0.2,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18000-healthy-oracle-cap5_floor0p20,0.789367375347105,899fd8b6805c56bd651879f40dd0a95058e42bb5c5853ffb97441e39fdc9902e,1,1864,0,657,0,2.6037841142153577,619.2408966879182
tuning,18000,healthy,oracle,cap5_floor0p25,S,5.0,0.25,0.25,0.0,4.0,4.0,0.0,actuator-recovery-tuning-18000-healthy-oracle-cap5_floor0p25,0.789367375347105,899fd8b6805c56bd651879f40dd0a95058e42bb5c5853ffb97441e39fdc9902e,1,1864,0,657,0,2.6037841142153577,619.2408966879182
