plane_z_m,source,suite,sensor_fault_is_observation_side,n_steps,first_decision_step,first_decision_time_s,classification_evaluations,held_post_decision_source,recovery_changed_steps,recovery_changed_before_decision,first_recovery_change_time_s,recovery_precedes_contact,contact_active_steps,contact_active_fraction,contact_episode_count,first_contact_time_s,last_contact_time_s,peak_contact_force_n,contact_impulse_n_s,max_abs_joint_0_rad,max_abs_joint_1_rad,max_abs_joint_speed_0_rad_s,max_abs_joint_speed_1_rad_s,max_abs_gauge_microstrain,safety_incident_steps,any_safety_flag,bounded_profile_gate_pass,flag_steps_joint_angle_0_exceeded,flag_steps_joint_angle_1_exceeded,flag_steps_joint_speed_0_exceeded,flag_steps_joint_speed_1_exceeded,flag_steps_tip_workspace_exceeded,flag_steps_gauge_abs_exceeded,flag_steps_tip_contact_force_exceeded
0.1,actuator,C1,False,3000,1136,2.2720000000000002,1,actuator,1864,False,2.2720000000000002,False,0,0.0,0,,,0.0,0.0,0.3866928827559395,0.3597757019309653,0.5685429704178624,1.5343819746858056,6.127235232935568,0,False,False,0,0,0,0,0,0,0
0.1,healthy,C1,False,3000,1136,2.2720000000000002,1,healthy,0,False,,True,0,0.0,0,,,0.0,0.0,0.3959316218472675,0.2920389091439932,0.5754396513313331,1.3648955842044952,6.082841673880068,0,False,False,0,0,0,0,0,0,0
0.1,sensor,C1,True,3000,1136,2.2720000000000002,1,sensor,0,False,,True,0,0.0,0,,,0.0,0.0,0.34189435405373025,0.29909071417631594,0.5719580119334378,1.3285412795276397,21.01087393064182,0,False,False,0,0,0,0,0,0,0
0.1,structure,C1,False,3000,1136,2.2720000000000002,1,structure,1864,False,2.2720000000000002,False,0,0.0,0,,,0.0,0.0,0.3280387792102828,0.2768788733264387,0.5738167588216214,1.3572986010248478,4.4151441101703,0,False,False,0,0,0,0,0,0,0
0.125,actuator,C1,False,3000,1136,2.2720000000000002,1,actuator,1864,False,2.2720000000000002,False,0,0.0,0,,,0.0,0.0,0.38678214199884664,0.35985736721032735,0.5727290624237824,1.5511550763356308,5.952994919513622,0,False,False,0,0,0,0,0,0,0
0.125,healthy,C1,False,3000,1136,2.2720000000000002,1,healthy,0,False,,True,21,0.007,1,5.130000000001383,5.17000000000129,0.32982186769623867,0.006603436291366551,0.39077547498930576,0.2918097323680069,0.575027034737774,1.2858928979884165,5.520419797568899,0,False,True,0,0,0,0,0,0,0
0.125,sensor,C1,True,3000,1136,2.2720000000000002,1,sensor,0,False,,True,0,0.0,0,,,0.0,0.0,0.3423292076859621,0.2985281398930115,0.5536165934092452,1.398612858878101,20.61212679629336,0,False,False,0,0,0,0,0,0,0
0.125,structure,C1,False,3000,1136,2.2720000000000002,1,structure,1864,False,2.2720000000000002,False,0,0.0,0,,,0.0,0.0,0.32799424267362465,0.27747998154557507,0.5687655105839351,1.3317366840239764,4.262927801196304,0,False,False,0,0,0,0,0,0,0
0.15,actuator,C1,False,3000,1136,2.2720000000000002,1,actuator,1864,False,2.2720000000000002,True,22,0.007333333333333333,1,4.906000000001905,4.948000000001807,1.1774089327348358,0.02179568115788838,0.347181235401103,0.3614591493338559,0.5717417228445765,1.5505591358817572,9.339924899620655,0,False,True,0,0,0,0,0,0,0
0.15,healthy,C1,False,3000,1136,2.2720000000000002,1,healthy,0,False,,True,22,0.007333333333333333,1,4.858000000002017,4.900000000001919,1.481058301294839,0.0266007321482827,0.3401611838801353,0.2925727613234721,0.5788772790347174,1.3074246876938478,11.361283459798699,0,False,True,0,0,0,0,0,0,0
