role,case_id,source_class,subtype,location,severity,severity_semantics,sensor_seed,pair_id,classification_evaluations,recovery_command_changed_steps,recovery_changed_before_decision,tracking_integral_5s_m_s,safety_incident_steps,saturation_steps,contact_episode_count,contact_active_steps,peak_contact_force_n,max_abs_joint_0_rad,max_abs_joint_1_rad,max_abs_joint_speed_0_rad_s,max_abs_joint_speed_1_rad_s,max_abs_gauge_microstrain,pre_fault_hash,flag_steps_joint_angle_0_exceeded,flag_steps_joint_angle_1_exceeded,flag_steps_joint_speed_0_exceeded,flag_steps_joint_speed_1_exceeded,flag_steps_tip_workspace_exceeded,flag_steps_gauge_abs_exceeded,flag_steps_tip_contact_force_exceeded
tuning,actuator_gain_remaining_0p10,actuator,actuator_gain_loss,1,0.1,remaining joint-1 delivered-gain fraction; lower is more severe,16000,fault-deficit-tuning-16000,1,0,False,1.4312618884990886,0,0,1,23,1.549151494598615,0.16858519732015287,1.0496535779356604,0.3788810295133338,1.6811315890299383,20.82171610311434,3e903629c00621dc35803c458d1fa4f13392b78c84476dfa9f416f268d5c3291,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p25,actuator,actuator_gain_loss,1,0.25,remaining joint-1 delivered-gain fraction; lower is more severe,16000,fault-deficit-tuning-16000,1,0,False,1.059206234520323,0,0,1,23,0.07750161434724294,0.20798961156774043,0.6323935421282671,0.3914908195123967,1.4631973649874563,3.3530942161563715,3e903629c00621dc35803c458d1fa4f13392b78c84476dfa9f416f268d5c3291,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p50,actuator,actuator_gain_loss,1,0.5,remaining joint-1 delivered-gain fraction; lower is more severe,16000,fault-deficit-tuning-16000,1,0,False,0.9738007900916273,0,0,1,25,1.5514321874183912,0.25114009307793816,0.4479287848807978,0.5483873733860278,1.679504344509919,14.67154946564797,3e903629c00621dc35803c458d1fa4f13392b78c84476dfa9f416f268d5c3291,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p70,actuator,actuator_gain_loss,1,0.7,remaining joint-1 delivered-gain fraction; lower is more severe,16000,fault-deficit-tuning-16000,1,0,False,0.9145983762424599,0,0,1,24,1.9267751855478146,0.26771377280795017,0.36124079344499016,0.584804372272707,1.5349179938568547,17.77797858529162,3e903629c00621dc35803c458d1fa4f13392b78c84476dfa9f416f268d5c3291,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p85,actuator,actuator_gain_loss,1,0.85,remaining joint-1 delivered-gain fraction; lower is more severe,16000,fault-deficit-tuning-16000,1,0,False,0.8829623092387594,0,0,1,24,2.024947076445256,0.2712508652231027,0.3141322970915357,0.5764628999835875,1.4132674226485786,18.869259581908437,3e903629c00621dc35803c458d1fa4f13392b78c84476dfa9f416f268d5c3291,0,0,0,0,0,0,0
tuning,healthy_reference,healthy,none,-1,1.0,no fault; remaining fraction reference,16000,fault-deficit-tuning-16000,1,0,False,0.8603067702223035,0,0,1,25,2.084032718837565,0.27223582941518254,0.2908860344008728,0.5719814431548453,1.3180818370979175,18.922658172071394,3e903629c00621dc35803c458d1fa4f13392b78c84476dfa9f416f268d5c3291,0,0,0,0,0,0,0
tuning,sensor_encoder_bias_0p05,sensor,encoder_bias,0,0.05,encoder bias in radians; physical plant remains healthy,16000,fault-deficit-tuning-16000,1,0,False,0.9946910333116872,0,0,1,21,1.6152952414463728,0.28369290206679043,0.298336348615567,0.5475814874533746,1.335885054531083,20.419693438925215,3e903629c00621dc35803c458d1fa4f13392b78c84476dfa9f416f268d5c3291,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p05,structure,link_stiffness_loss,1,0.05,remaining link-2 EI fraction; lower is more severe,16000,fault-deficit-tuning-16000,1,0,False,0.8173089922828565,0,0,1,24,1.508093703247436,0.26061441160235077,0.292968886557067,0.5868720375534764,1.3288594801545983,259.3986852004271,3e903629c00621dc35803c458d1fa4f13392b78c84476dfa9f416f268d5c3291,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p10,structure,link_stiffness_loss,1,0.1,remaining link-2 EI fraction; lower is more severe,16000,fault-deficit-tuning-16000,1,0,False,0.8405182816995114,0,0,1,21,1.6900966946809186,0.26883049946259296,0.29188326633827266,0.5786305963644267,1.2950478605688875,154.08325022425728,3e903629c00621dc35803c458d1fa4f13392b78c84476dfa9f416f268d5c3291,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p25,structure,link_stiffness_loss,1,0.25,remaining link-2 EI fraction; lower is more severe,16000,fault-deficit-tuning-16000,1,0,False,0.8524847279864267,0,0,1,23,1.9841013745070462,0.2725761551782897,0.2911953014901747,0.5794185131471341,1.2991980106618062,71.20272198250179,3e903629c00621dc35803c458d1fa4f13392b78c84476dfa9f416f268d5c3291,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p50,structure,link_stiffness_loss,1,0.5,remaining link-2 EI fraction; lower is more severe,16000,fault-deficit-tuning-16000,1,0,False,0.8611997279852612,0,0,1,23,2.1204084941430223,0.27396501380311333,0.29165190260744467,0.5790405248611297,1.311461475228315,38.312505124764584,3e903629c00621dc35803c458d1fa4f13392b78c84476dfa9f416f268d5c3291,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p75,structure,link_stiffness_loss,1,0.75,remaining link-2 EI fraction; lower is more severe,16000,fault-deficit-tuning-16000,1,0,False,0.861216275009647,0,0,1,24,2.090120205124861,0.27286821069188827,0.29099473945929066,0.579390203200969,1.3130629313755637,25.302038734427157,3e903629c00621dc35803c458d1fa4f13392b78c84476dfa9f416f268d5c3291,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p10,actuator,actuator_gain_loss,1,0.1,remaining joint-1 delivered-gain fraction; lower is more severe,16001,fault-deficit-tuning-16001,1,0,False,1.4296687547997402,0,0,1,23,1.5384900597742013,0.1688815601811906,1.0476109878728264,0.3749000496924282,1.6785298910095836,21.144167296309746,4f0f81be21ecc271778732bc72779917be4c1fc25d37fbc7b70f06e8972661f9,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p25,actuator,actuator_gain_loss,1,0.25,remaining joint-1 delivered-gain fraction; lower is more severe,16001,fault-deficit-tuning-16001,1,0,False,1.058604727812042,0,0,1,24,0.09388331777695608,0.2078054172029633,0.6337726928239067,0.39201511561848257,1.461367481752962,3.4247414572807777,4f0f81be21ecc271778732bc72779917be4c1fc25d37fbc7b70f06e8972661f9,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p50,actuator,actuator_gain_loss,1,0.5,remaining joint-1 delivered-gain fraction; lower is more severe,16001,fault-deficit-tuning-16001,1,0,False,0.9736815100586234,0,0,1,25,1.5673990298302944,0.2518100427737986,0.44877198668888996,0.5450291577082655,1.678754692747919,14.991203443575074,4f0f81be21ecc271778732bc72779917be4c1fc25d37fbc7b70f06e8972661f9,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p70,actuator,actuator_gain_loss,1,0.7,remaining joint-1 delivered-gain fraction; lower is more severe,16001,fault-deficit-tuning-16001,1,0,False,0.914806820521345,0,0,1,24,1.8897465635240005,0.26829454805285646,0.3619623969998025,0.5808149564887621,1.535971237109024,17.280870801563708,4f0f81be21ecc271778732bc72779917be4c1fc25d37fbc7b70f06e8972661f9,0,0,0,0,0,0,0
tuning,actuator_gain_remaining_0p85,actuator,actuator_gain_loss,1,0.85,remaining joint-1 delivered-gain fraction; lower is more severe,16001,fault-deficit-tuning-16001,1,0,False,0.883888381983881,0,0,1,24,2.0055589135123233,0.2723317196395536,0.3142535805807021,0.5865590322791103,1.386021792976866,18.021400773688967,4f0f81be21ecc271778732bc72779917be4c1fc25d37fbc7b70f06e8972661f9,0,0,0,0,0,0,0
tuning,healthy_reference,healthy,none,-1,1.0,no fault; remaining fraction reference,16001,fault-deficit-tuning-16001,1,0,False,0.8608399094465755,0,0,1,24,2.0826135025295063,0.2732941916029916,0.29007255212163185,0.5803722985922022,1.2838381092570295,19.03638984972922,4f0f81be21ecc271778732bc72779917be4c1fc25d37fbc7b70f06e8972661f9,0,0,0,0,0,0,0
tuning,sensor_encoder_bias_0p05,sensor,encoder_bias,0,0.05,encoder bias in radians; physical plant remains healthy,16001,fault-deficit-tuning-16001,1,0,False,0.994684975173308,0,0,1,22,1.5865897823591535,0.28443922384571385,0.2980269259879731,0.5591405935243543,1.3371340781695995,20.72388762434839,4f0f81be21ecc271778732bc72779917be4c1fc25d37fbc7b70f06e8972661f9,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p05,structure,link_stiffness_loss,1,0.05,remaining link-2 EI fraction; lower is more severe,16001,fault-deficit-tuning-16001,1,0,False,0.8175398446733635,0,0,1,24,1.49799711460565,0.2612486780596255,0.2919589596293162,0.5885311079616429,1.3493646752686939,259.76462576160486,4f0f81be21ecc271778732bc72779917be4c1fc25d37fbc7b70f06e8972661f9,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p10,structure,link_stiffness_loss,1,0.1,remaining link-2 EI fraction; lower is more severe,16001,fault-deficit-tuning-16001,1,0,False,0.8415519930869737,0,0,1,21,1.7259319059435854,0.2695211947575449,0.2912264679086318,0.5884861632137195,1.3681699319416651,153.98211102834125,4f0f81be21ecc271778732bc72779917be4c1fc25d37fbc7b70f06e8972661f9,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p25,structure,link_stiffness_loss,1,0.25,remaining link-2 EI fraction; lower is more severe,16001,fault-deficit-tuning-16001,1,0,False,0.8530299849845645,0,0,1,22,1.9593211621895126,0.27330330585930307,0.2905548923735388,0.577208529825679,1.2756341279944738,72.85198751086241,4f0f81be21ecc271778732bc72779917be4c1fc25d37fbc7b70f06e8972661f9,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p50,structure,link_stiffness_loss,1,0.5,remaining link-2 EI fraction; lower is more severe,16001,fault-deficit-tuning-16001,1,0,False,0.8605894215064421,0,0,1,22,2.051353815828093,0.27451025236135607,0.2903186600513261,0.5769418278591676,1.2789762758120826,38.20830862187208,4f0f81be21ecc271778732bc72779917be4c1fc25d37fbc7b70f06e8972661f9,0,0,0,0,0,0,0
tuning,structure_ei_remaining_0p75,structure,link_stiffness_loss,1,0.75,remaining link-2 EI fraction; lower is more severe,16001,fault-deficit-tuning-16001,1,0,False,0.8608464719385875,0,0,1,24,2.051354590036424,0.2736247973163315,0.2907056290957053,0.5792081986506492,1.2698502185151117,25.710141268433517,4f0f81be21ecc271778732bc72779917be4c1fc25d37fbc7b70f06e8972661f9,0,0,0,0,0,0,0
