task_torque_scale,peak_load_n,onset_offset_steps,onset_index,suite,window,stride,decision_lag_steps,safety_screen_pass,sync_vector_nonzero,detect_threshold,false_alarm_rate,minimum_fault_detection_rate,structure_detection_rate,actuator_detection_rate,sensor_detection_rate,macro_attribution_accuracy,structure_attribution_accuracy,actuator_attribution_accuracy,sensor_attribution_accuracy
0.4,0.025,0,500,C1,512,4,0,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.025,0,500,C1,512,8,4,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.025,0,500,C1,512,16,12,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.025,0,500,C1,640,4,0,True,True,1.8359826790467264,0.0,0.0,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.9166666666666666
0.4,0.025,0,500,C1,640,8,4,True,True,2.0959964663859596,0.0,0.0,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.9166666666666666
0.4,0.025,0,500,C1,640,16,12,True,True,1.5932957291576542,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.9722222222222222,1.0,1.0,0.9166666666666666
0.4,0.025,0,500,C1,768,4,0,True,True,1.417278799327864,0.3333333333333333,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,0,500,C1,768,8,4,True,True,1.4343090158373106,0.4166666666666667,0.4166666666666667,0.4166666666666667,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,0,500,C1,768,16,12,True,True,1.5307311491097237,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,0,500,S,512,4,0,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.025,0,500,S,512,8,4,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.025,0,500,S,512,16,12,True,False,1e-12,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
0.4,0.025,0,500,S,640,4,0,True,True,1.75914168182887,0.0,0.0,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.9166666666666666
0.4,0.025,0,500,S,640,8,4,True,True,1.9792399328641446,0.0,0.0,0.0,1.0,1.0,0.9722222222222222,1.0,1.0,0.9166666666666666
0.4,0.025,0,500,S,640,16,12,True,True,1.5695378641873663,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.9722222222222222,1.0,1.0,0.9166666666666666
0.4,0.025,0,500,S,768,4,0,True,True,1.3886112153170165,0.5,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0
0.4,0.025,0,500,S,768,8,4,True,True,1.3901553406433909,0.4166666666666667,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0
