severity,seed,role,generated_suite,run_id,j_5s,classification_evaluations,recovery_command_changes,a1_incident_steps,saturation_steps,peak_contact_force_n,max_abs_gauge_microstrain,window_valid_fraction_mean
1.0,17000,tuning,S,severity-quality-tuning-17000-gain1.00-S,0.8623313079788424,1,0,0,0,2.100708267140343,18.86601275138844,0.9921151620370369
1.0,17001,tuning,S,severity-quality-tuning-17001-gain1.00-S,0.8605972198597934,1,0,0,0,2.0700404633885157,18.582773058772872,0.9894386574074073
1.0,17002,tuning,S,severity-quality-tuning-17002-gain1.00-S,0.8604785805077907,1,0,0,0,2.0996429589967414,19.776764239365363,0.9892216435185185
1.0,17003,tuning,S,severity-quality-tuning-17003-gain1.00-S,0.859165335790207,1,0,0,0,2.0408788884049076,19.073909906799358,0.9896556712962963
1.0,17004,tuning,S,severity-quality-tuning-17004-gain1.00-S,0.8576578996504012,1,0,0,0,2.092384880644855,18.339814490575534,0.9892939814814815
1.0,17005,tuning,S,severity-quality-tuning-17005-gain1.00-S,0.8607549057008341,1,0,0,0,2.0794291755825474,18.415426790650002,0.9891493055555556
1.0,17100,assessment,S,severity-quality-assessment-17100-gain1.00-S,0.8602950721595801,1,0,0,0,2.118070302651694,18.559801047048907,0.990234375
1.0,17101,assessment,S,severity-quality-assessment-17101-gain1.00-S,0.8604001132323349,1,0,0,0,2.1060651563998705,19.716247921692798,0.9907407407407407
1.0,17102,assessment,S,severity-quality-assessment-17102-gain1.00-S,0.8581249559201852,1,0,0,0,2.0732809937160144,19.004971240121904,0.9890046296296295
1.0,17103,assessment,S,severity-quality-assessment-17103-gain1.00-S,0.8609955888778595,1,0,0,0,2.086582214308634,19.9418692993536,0.9897280092592593
0.85,17000,tuning,S,severity-quality-tuning-17000-gain0.85-S,0.8849334947439347,1,0,0,0,2.020604153094131,17.392867508396748,0.9921151620370369
0.85,17001,tuning,S,severity-quality-tuning-17001-gain0.85-S,0.8839311436050276,1,0,0,0,1.9604602981371269,18.238553276033187,0.9894386574074073
0.85,17002,tuning,S,severity-quality-tuning-17002-gain0.85-S,0.8827798332581485,1,0,0,0,2.0200705112401804,17.763711607257093,0.9892216435185185
0.85,17003,tuning,S,severity-quality-tuning-17003-gain0.85-S,0.8822495267038122,1,0,0,0,1.951140928593646,18.630769933842828,0.9896556712962963
0.85,17004,tuning,S,severity-quality-tuning-17004-gain0.85-S,0.8802777002279837,1,0,0,0,2.031439189885865,17.960462496313667,0.9892939814814815
0.85,17005,tuning,S,severity-quality-tuning-17005-gain0.85-S,0.8824544819622535,1,0,0,0,2.027406736918944,18.59289851540602,0.9891493055555556
0.85,17100,assessment,S,severity-quality-assessment-17100-gain0.85-S,0.8822755102270166,1,0,0,0,1.9842526919141565,18.20744102715821,0.990234375
0.85,17101,assessment,S,severity-quality-assessment-17101-gain0.85-S,0.883496763447418,1,0,0,0,2.0099699092614136,18.82042274096385,0.9907407407407407
0.85,17102,assessment,S,severity-quality-assessment-17102-gain0.85-S,0.8823404353632733,1,0,0,0,2.0000284960707373,18.44094860034673,0.9890046296296295
0.85,17103,assessment,S,severity-quality-assessment-17103-gain0.85-S,0.8827123162671584,1,0,0,0,2.0056932036001607,18.003343386965298,0.9897280092592593
0.7,17000,tuning,S,severity-quality-tuning-17000-gain0.70-S,0.9159540217996599,1,0,0,0,1.919926740692919,18.06406396747562,0.9921151620370369
0.7,17001,tuning,S,severity-quality-tuning-17001-gain0.70-S,0.9145732145468064,1,0,0,0,1.8219901109114622,16.79796769278319,0.9894386574074073
0.7,17002,tuning,S,severity-quality-tuning-17002-gain0.70-S,0.9136615063592923,1,0,0,0,1.8832331428949658,17.900617587063294,0.9892216435185185
0.7,17003,tuning,S,severity-quality-tuning-17003-gain0.70-S,0.9130869216929944,1,0,0,0,1.833811868132301,17.16163229777301,0.9896556712962963
0.7,17004,tuning,S,severity-quality-tuning-17004-gain0.70-S,0.9117976166310656,1,0,0,0,1.8812804386808395,16.704320505835923,0.9892939814814815
0.7,17005,tuning,S,severity-quality-tuning-17005-gain0.70-S,0.9128507785510187,1,0,0,0,1.8688021529908276,17.023316933189037,0.9891493055555556
0.7,17100,assessment,S,severity-quality-assessment-17100-gain0.70-S,0.9133481122849549,1,0,0,0,1.849688917559175,16.554816895535396,0.990234375
0.7,17101,assessment,S,severity-quality-assessment-17101-gain0.70-S,0.9141727497297565,1,0,0,0,1.8519040941691303,17.176997156562734,0.9907407407407407
0.7,17102,assessment,S,severity-quality-assessment-17102-gain0.70-S,0.9125261464915018,1,0,0,0,1.8803660495381989,17.065508070581714,0.9890046296296295
0.7,17103,assessment,S,severity-quality-assessment-17103-gain0.70-S,0.9140525789110409,1,0,0,0,1.8932062021801128,17.231722546444672,0.9897280092592593
0.55,17000,tuning,S,severity-quality-tuning-17000-gain0.55-S,0.9582676313038895,1,0,0,0,1.6285651559984777,15.036185982966188,0.9921151620370369
0.55,17001,tuning,S,severity-quality-tuning-17001-gain0.55-S,0.9563104562799242,1,0,0,0,1.637208536996328,15.441529547741697,0.9894386574074073
0.55,17002,tuning,S,severity-quality-tuning-17002-gain0.55-S,0.9560010090325783,1,0,0,0,1.6548610938400663,16.342274679503888,0.9892216435185185
0.55,17003,tuning,S,severity-quality-tuning-17003-gain0.55-S,0.9554726875197341,1,0,0,0,1.6787759279121384,15.928200262571579,0.9896556712962963
0.55,17004,tuning,S,severity-quality-tuning-17004-gain0.55-S,0.9545256913469514,1,0,0,0,1.637953534089736,15.860818862591941,0.9892939814814815
